id,point,time,sim_obs
10,0,125.98,2.4906913479057406
10,0,129,2.554795954870937
10,0,132,2.4144469961755792
10,0,144.13,1.338957139963796
10,1,120,3.4753773887764923
10,1,121.03,3.9161643442619725
10,1,122,4.823341765121035
10,1,125.98,6.495732047484711
10,1,129,6.5347003794439615
10,1,132,6.094260605460672
10,1,144.13,3.418249085387655
11,0,120,1.363835167144952
11,0,121.03,1.466182214737202
11,0,122.13,1.8338838179049524
11,0,126,2.4906913479057406
11,0,129,2.556754570823434
11,0,132,2.42114603808578
11,0,144,1.3638754994476725
11,1,120,3.4753773887764923
11,1,121.03,3.9161643442619725
11,1,122.13,4.900411601872434
11,1,126,6.495732047484711
11,1,129,6.5432774832124965
11,1,132,6.113262146307704
11,1,144,3.4766728121372545
12,0,120,1.363835167144952
12,0,121,1.466182214737202
12,0,122,1.8045292815106915
12,0,126,2.4906913479057406
12,0,129.02,2.554795954870937
12,0,132,2.4144469961755792
12,0,144,1.3555384682946046
12,1,120,3.4753773887764923
12,1,121,3.9161643442619725
12,1,122,4.823341765121035
12,1,126,6.495732047484711
12,1,129.02,6.5347003794439615
12,1,132,6.094260605460672
12,1,144,3.457117658653643
13,0,120,1.363835167144952
13,0,121,1.466182214737202
13,0,122,1.8045292815106915
13,0,126,2.4906913479057406
13,0,129,2.556754570823434
13,0,132,2.42114603808578
13,0,144,1.3638754994476725
13,1,120,3.4753773887764923
13,1,121,3.9161643442619725
13,1,122,4.823341765121035
13,1,126,6.495732047484711
13,1,129,6.5432774832124965
13,1,132,6.113262146307704
13,1,144,3.4766728121372545
14,0,120,1.0228763753587138
14,0,121,1.0996366610529011
14,0,122,1.3533969611330183
14,0,126,1.8680185109293055
14,0,129,1.9175659281175756
14,0,132.05,1.8108352471316844
14,0,144.05,1.0166538512209544
14,1,120,2.606533041582369
14,1,121,2.937123258196478
14,1,122,3.6175063238407743
14,1,126,4.871799035613531
14,1,129,4.907458112409372
14,1,132.05,4.570695454095502
14,1,144.05,2.5928382439902316
15,0,120,1.363835167144952
15,0,121,1.466182214737202
15,0,122,1.8045292815106915
15,0,126,2.4906913479057406
15,0,129,2.556754570823434
15,0,132,2.42114603808578
15,0,143.97,1.3638754994476725
15,1,120,3.4753773887764923
15,1,121,3.9161643442619725
15,1,122,4.823341765121035
15,1,126,6.495732047484711
15,1,129,6.5432774832124965
15,1,132,6.113262146307704
15,1,143.97,3.4766728121372545
16,0,120,1.363835167144952
16,0,121.02,1.466182214737202
16,0,122.02,1.8045292815106915
16,0,126,2.4906913479057406
16,0,129,2.556754570823434
16,0,132,2.42114603808578
16,0,144.08,1.3555384682946046
16,1,120,3.4753773887764923
16,1,121.02,3.9161643442619725
16,1,122.02,4.823341765121035
16,1,126,6.495732047484711
16,1,129,6.5432774832124965
16,1,132,6.113262146307704
16,1,144.08,3.457117658653643
17,0,120,1.0228763753587138
17,0,120.98,1.0996366610529011
17,0,121.98,1.3533969611330183
17,0,126,1.8732091217116063
17,0,129.17,1.9126801576406556
17,0,132.17,1.800549105088146
17,0,143.97,1.0104242083378767
17,1,120,2.606533041582369
