id,time,block
id29,0.2,0
id29,0.4,0
id29,0.6000000000000001,0
id29,0.8,0
id29,1,0
id3,0,0
id3,0.2,0
id3,0.4,0
id3,0.6000000000000001,0
id3,0.8,0
id3,1,0
id30,0,0
id30,0.2,0
id30,0.4,0
id30,0.6000000000000001,0
id30,0.8,0
id30,1,0
id31,0,0
id31,0.2,0
id31,0.4,0
id31,0.6000000000000001,0
id31,0.8,0
id31,1,0
id32,0,0
id32,0.2,0
id32,0.4,0
id32,0.6000000000000001,0
id32,0.8,0
id32,1,0
id33,0,0
id33,0.2,0
id33,0.4,0
id33,0.6000000000000001,0
id33,0.8,0
id33,1,0
id34,0,0
id34,0.2,0
id34,0.4,0
id34,0.6000000000000001,0
id34,0.8,0
id34,1,0
id35,0,0
id35,0.2,0
id35,0.4,0
id35,0.6000000000000001,0
id35,0.8,0
id35,1,0
id36,0,0
id36,0.2,0
id36,0.4,0
id36,0.6000000000000001,0
id36,0.8,0
id36,1,0
id37,0,0
id37,0.2,0
id37,0.4,0
id37,0.6000000000000001,0
id37,0.8,0
id37,1,0
id38,0,0
id38,0.2,0
id38,0.4,0
id38,0.6000000000000001,0
id38,0.8,0
id38,1,0
id39,0,0
id39,0.2,0
id39,0.4,0
id39,0.6000000000000001,0
id39,0.8,0
id39,1,0
id4,0,0
id4,0.2,0
id4,0.4,0
id4,0.6000000000000001,0
id4,0.8,0
id4,1,0
id40,0,0
id40,0.2,0
id40,0.4,0
id40,0.6000000000000001,0
id40,0.8,0
id40,1,0
id41,0,0
id41,0.2,0
id41,0.4,0
id41,0.6000000000000001,0
id41,0.8,0
id41,1,0
id42,0,0
id42,0.2,0
id42,0.4,0
id42,0.6000000000000001,0
id42,0.8,0
id42,1,0
id43,0,0
id43,0.2,0
id43,0.4,0
id43,0.6000000000000001,0
id43,0.8,0
id43,1,0
id44,0,0
id44,0.2,0
id44,0.4,0
id44,0.6000000000000001,0
id44,0.8,0
id44,1,0
id45,0,0
id45,0.2,0
id45,0.4,0
id45,0.6000000000000001,0
id45,0.8,0
id45,1,0
id46,0,0
id46,0.2,0
id46,0.4,0
id46,0.6000000000000001,0
id46,0.8,0
id46,1,0
id47,0,0
id47,0.2,0
id47,0.4,0
id47,0.6000000000000001,0
id47,0.8,0
id47,1,0
id48,0,0
id48,0.2,0
id48,0.4,0
id48,0.6000000000000001,0
id48,0.8,0
id48,1,0
id49,0,0
id49,0.2,0
id49,0.4,0
