cycle,converged,status,neg2ll,nspp,gamlam.0,gamlam.1,gamlam.2,cls.mean,cls.median,cls.sd,k30.mean,k30.median,k30.sd,k40.mean,k40.median,k40.sd,qs.mean,qs.median,qs.sd,vps.mean,vps.median,vps.sd,vs.mean,vs.median,vs.sd,fm1.mean,fm1.median,fm1.sd,fm2.mean,fm2.median,fm2.sd,theta1.mean,theta1.median,theta1.sd,theta2.mean,theta2.median,theta2.sd
99,false,Continue,2717.1710458760454,22,1.33033,1.66635,1.72398,0.060858295751522976,0.021267367082708794,0.009699676045802732,0.19681804356990265,0.1727619002693477,0.015435614957541453,2.0500558663766713,1.7902290175265463,0.6874350702339894,0.23621187732765508,0.21065672830632526,0.04097155467770572,22.243393337313357,1.0679161371847108,8500.613946803296,0.5968038454698991,0.5353267255875482,0.1573809666829145,0.05354125758295294,0.04936375446941827,0.00029334249356589696,0.0399309842797491,0.03662240193212875,0.00022552691438531932,-0.8066881534027144,-0.5438429304984294,3.3232030337742406,-0.25517478162534,-0.2637341233874836,0.14441123412759072
100,false,Continue,2716.9641131970584,22,1.33033,1.66635,1.72398,0.06109102821144558,0.022124781706084843,0.00967456745170034,0.19674796555712823,0.17199104212882937,0.015436591876678583,2.051497583849387,1.7902290175265463,0.6899328662425105,0.23612339490687748,0.21065672830632526,0.040986066121676296,23.22105142115144,1.0679161371847108,9376.35429760673,0.5964870915912793,0.5353267255875482,0.15739815315559275,0.05354475433027726,0.04936375446941827,0.00029330076884273625,0.03997607791462736,0.03662240193212875,0.00022695072188948435,-0.8056605745061727,-0.5438429304984294,3.3218819734430403,-0.254904537048694,-0.26170395712480493,0.1444524150971564
101,false,Continue,2716.864288410074,22,1.33033,1.66635,1.72398,0.061329957871569696,0.024753007967450075,0.009651269535467076,0.19672519022259652,0.17174051344898095,0.015436955899977687,2.052883881706681,1.7902290175265463,0.6924208973548234,0.23595203463678238,0.21065672830632526,0.041015149426888976,24.251246653527314,1.0679161371847108,10342.015854480096,0.596652636072835,0.5353267255875482,0.1573886203204374,0.05354607063145567,0.04936375446941827,0.00029328520153886135,0.040009182394167404,0.03662240193212875,0.0002280529297726691,-0.8048311889574298,-0.5438429304984294,3.320849594493662,-0.25471890777933937,-0.2596620351619043,0.14445591506616523
102,false,Continue,2716.73849621332,22,1.33033,1.66635,1.72398,0.06135434476320905,0.025021263775483,0.00964903285378217,0.19656967224929928,0.17002981574271098,0.015440051590661237,2.0551072276340463,1.7902290175265463,0.6965877649179281,0.23578902771690508,0.21065672830632526,0.041044014091190795,25.33455201346774,1.0679161371847108,11406.89453256466,0.5966151974366553,0.5353267255875482,0.15739067070001383,0.053554997950885024,0.04936375446941827,0.00029318163399213553,0.04003787154153649,0.03662240193212875,0.00022904713168219438,-0.8047604947050361,-0.5438429304984294,3.320762997583556,-0.25461029603989815,-0.2584673060280508,0.1444586659756604
103,false,Continue,2716.348893024729,22,1.33033,1.66635,1.72398,0.0616746054152076,0.028544130947466995,0.009622087945158399,0.19631185800137516,0.1671938590155454,0.015447527942624162,2.0606463634481567,1.7902290175265463,0.7079148396210946,0.23592410947898051,0.21065672830632526,0.041020011322912095,26.421015249881762,1.0679161371847108,12583.558314463526,0.5959409081891841,0.5353267255875482,0.15743815712929374,0.05349165552993311,0.04936375446941827,0.0002939923108330746,0.04015704774638627,0.03662240193212875,0.0002335647826272835,-0.8012890193885045,-0.5438429304984294,3.316781138792843,-0.2547730239647718,-0.2602573132016611,0.14445473815244636
104,false,Continue,2716.2382203668185,22,1.33033,1.66635,1.72398,0.06170942727488875,0.028927171403959683,0.009619430253994246,0.19627849659574245,0.1668268835535862,0.01544870909822446,2.063100174518916,1.7902290175265463,0.7133641703468935,0.235738176711864,0.21065672830632526,0.04105325784724519,27.615148790101212,1.0679161371847108,13878.753228066484,0.595943768652945,0.5353267255875482,0.15743791342964242,0.05350053643998054,0.04936375446941827,0.00029386800937567187,0.04018828249659399,0.03662240193212875,0.00023485216547578137,-0.7992004743839114,-0.5438429304984294,3.3146410033447697,-0.2547793778357188,-0.26032720578207774,0.14445460842187424
105,false,Continue,2716.2094411969383,22,1.33033,1.66635,1.72398,0.06174181316805856,0.029283416228827512,0.009617006366696955,0.1963197075124863,0.1672802036377687,0.015447257148533818,2.0637966047221132,1.7902290175265463,0.7149590424853814,0.2357777349735218,0.21065672830632526,0.04104605707161847,28.871116763267427,1.0679161371847108,15306.932982719174,0.5957872628833868,0.5353267255875482,0.15745177609253388,0.053495942826570685,0.04936375446941827,0.0002939318705102411,0.040211222874625356,0.03662240193212875,0.00023582502601193788,-0.7981667024134794,-0.5438429304984294,3.313652706335713,-0.2547816019626126,-0.2603516711779103,0.1444545634303474
106,false,Continue,2716.193761325256,22,1.33033,1.66635,1.72398,0.06176498001706762,0.029538251567927228,0.009615300782435488,0.19627918223336582,0.16683442556744293,0.015448684330444282,2.0646552223887293,1.7902290175265463,0.7169547090690161,0.23575012712100554,0.21065672830632526,0.04105107526036998,30.190777558151638,1.0679161371847108,16881.79993833943,0.5959101254697315,0.5353267255875482,0.15744080247317854,0.05350502539087425,0.04936375446941827,0.0002938065002419014,0.04022903353463332,0.03662240193212875,0.0002365963120149831,-0.7975802349650144,-0.5438429304984294,3.313112942000482,-0.25477424226507944,-0.26027071450504485,0.1444547131400741
107,false,Continue,2716.1668348544213,22,1.33033,1.66635,1.72398,0.061808766004537816,0.030019897430099335,0.009612141675967377,0.196288123580044,0.16693278038090253,0.015448363229478491,2.0652715938796824,1.7902290175265463,0.7184073291823112,0.23574207093834068,0.21065672830632526,0.041052545927206696,31.57769723766826,1.0679161371847108,18618.37878658095,0.5957667862582636,0.5353146042009262,0.15745366955915474,0.053501009248153514,0.04936375446941827,0.00029386148902204776,0.04024115302151396,0.03662240193212875,0.00023712912348125662,-0.7969783017230956,-0.5438429304984294,3.3125746809177694,-0.25465381522466146,-0.2589460170604474,0.1444575014041631
108,false,Continue,2716.1293381145933,22,1.33033,1.66635,1.72398,0.06187408099234418,0.030738362295969296,0.009607586048387417,0.1963208912228181,0.1672932244514183,0.01544721654788485,2.0668870199005496,1.7902290175265463,0.722293766025653,0.23574830213872727,0.21065672830632526,0.04105140816312654,33.03183315453836,1.0679161371847108,20533.464213101513,0.5952332017471699,0.5294451745788928,0.15750951398467325,0.05348203889496827,0.04936375446941827,0.00029413082329874773,0.04027575629512352,0.03662240193212875,0.00023868596296588136,-0.7990527125326228,-0.5438429304984294,3.314496861234996,-0.2543969639470741,-0.25612065300698666,0.14446558021486766
