cycle,converged,status,neg2ll,nspp,gamlam.1,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd
147,false,Continue,-424.85105429191145,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42550110816956,104.0697729587555,805.1228667323296
148,false,Continue,-424.85647408441724,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42550110816956,104.0697729587555,804.9653332948662
149,false,Continue,-424.86149471516035,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42550110816956,104.0697729587555,804.8079754201747
150,false,Continue,-424.8661142146126,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42550110816956,104.0697729587555,804.650793108255
151,false,Continue,-424.87116006537997,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42647767066956,104.0697729587555,804.6456012164622
152,false,Continue,-424.88160148863875,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42647767066956,104.0697729587555,804.4886822487005
153,false,Continue,-424.8916385996615,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42550110816956,104.0697729587555,804.3575774655667
154,false,Continue,-424.90127359187153,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42647767066956,104.0697729587555,804.1753710014924
155,false,Continue,-424.91050072544124,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42647767066956,104.0697729587555,804.0189787220462
156,false,Continue,-424.9193196416642,45,0.00000,0.1793297222079171,0.09591740503311158,0.0291309191888379,108.42647767066956,104.0697729587555,803.862762005372
157,false,Continue,-424.93143786629355,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,803.7113860549467
158,false,Continue,-424.9445608507497,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,803.5554326824303
159,false,Continue,-424.9573074639678,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,803.3996548726857
160,false,Continue,-424.9696759942311,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,803.244052625713
161,false,Continue,-424.9816647733936,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,803.0886259415122
162,false,Continue,-424.9932721765147,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,802.9333748200833
163,false,Continue,-425.0044966213864,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,802.7782992614262
164,false,Continue,-425.01533656825194,45,0.00000,0.17931670571486155,0.09591740503311158,0.029134664454069294,108.42550110816956,104.0697729587555,802.6233992655411
165,false,Continue,-425.025916146051,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.42550110816956,104.0697729587555,802.4686748324278
166,false,Continue,-425.0419857126777,46,0.00000,0.17741965824106465,0.09416017847061159,0.02865154175571178,108.08242481687795,104.0478003025055,789.8787540001607
167,false,Continue,-425.05726189346666,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.42354798316956,104.0697729587555,802.1925148394254
168,false,Continue,-425.071740544692,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.42257142066956,104.0697729587555,802.0548269331147
169,false,Continue,-425.0854228854389,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.42159485816956,104.0697729587555,801.9174004202644
170,false,Continue,-425.09830879676053,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.42061829566956,104.0697729587555,801.7802353008744
171,false,Continue,-425.1103981622046,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.41964173316956,104.0697729587555,801.6433315749448
172,false,Continue,-425.1216908680356,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913107514061527,108.41866517066956,104.0697729587555,801.5066892424755
